TwoTheta,Counts,Starch
58.131,915,Tapioca
58.11,981,Tapioca
58.088,972,Tapioca
58.067,978,Tapioca
58.046,1030,Tapioca
58.025,971,Tapioca
58.004,1018,Tapioca
57.983,926,Tapioca
57.962,988,Tapioca
57.94,1020,Tapioca
57.919,1037,Tapioca
57.898,974,Tapioca
57.877,1020,Tapioca
57.856,965,Tapioca
57.835,990,Tapioca
57.814,971,Tapioca
57.792,1017,Tapioca
57.771,966,Tapioca
57.75,982,Tapioca
57.729,921,Tapioca
57.708,944,Tapioca
57.687,1011,Tapioca
57.666,950,Tapioca
57.644,960,Tapioca
57.623,988,Tapioca
57.602,991,Tapioca
57.581,1004,Tapioca
57.56,994,Tapioca
57.539,985,Tapioca
57.518,952,Tapioca
57.496,994,Tapioca
57.475,997,Tapioca
57.454,991,Tapioca
57.433,1029,Tapioca
57.412,1010,Tapioca
57.391,1028,Tapioca
57.37,1066,Tapioca
57.348,1032,Tapioca
57.327,1025,Tapioca
57.306,975,Tapioca
57.285,992,Tapioca
57.264,970,Tapioca
57.243,1013,Tapioca
57.222,990,Tapioca
57.2,987,Tapioca
57.179,1043,Tapioca
57.158,978,Tapioca
57.137,1004,Tapioca
57.116,1031,Tapioca
57.095,1074,Tapioca
57.074,1037,Tapioca
57.052,995,Tapioca
57.031,1022,Tapioca
57.01,1009,Tapioca
56.989,976,Tapioca
56.968,1035,Tapioca
56.947,1013,Tapioca
56.926,1021,Tapioca
56.904,1051,Tapioca
56.883,1011,Tapioca
56.862,1017,Tapioca
56.841,977,Tapioca
56.82,1040,Tapioca
56.799,1042,Tapioca
56.778,1029,Tapioca
56.756,1053,Tapioca
56.735,1031,Tapioca
56.714,1009,Tapioca
56.693,1028,Tapioca
56.672,1083,Tapioca
56.651,1087,Tapioca
56.63,996,Tapioca
56.608,993,Tapioca
56.587,1070,Tapioca
56.566,1033,Tapioca
56.545,1023,Tapioca
56.524,1052,Tapioca
56.503,1121,Tapioca
56.482,1051,Tapioca
56.46,1045,Tapioca
56.439,1023,Tapioca
56.418,1078,Tapioca
56.397,1086,Tapioca
56.376,1080,Tapioca
56.355,1046,Tapioca
56.334,1100,Tapioca
56.312,1047,Tapioca
56.291,1127,Tapioca
56.27,1095,Tapioca
56.249,1099,Tapioca
56.228,1077,Tapioca
56.207,1037,Tapioca
56.186,1095,Tapioca
